DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"Liên Phường, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,15 tỷ",Thủ Thiêm Garden,23 m²,Đã bàn giao,50 triệu/m²,2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",Ricca,74 m²,Đã bàn giao,"29,73 triệu/m²",2 phòng,2 phòng,,,,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,83 tỷ",Ricca,58 m²,Đã bàn giao,"31,55 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,Đông Nam,,
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","3,1 tỷ",The Pegasuite 2,84 m²,Đã bàn giao,"36,9 triệu/m²",2 phòng,2 phòng,6,Đang chờ sổ,Nội thất cao cấp,Đông Bắc,Tây Nam,Căn góc
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","5,3 tỷ",Celadon City,88.8 m²,Chưa bàn giao,"59,68 triệu/m²",2 phòng,,,,,Đông Nam,,Căn góc
"An Phú, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",28 tỷ,Masteri An Phú,170.4 m²,Đã bàn giao,"164,32 triệu/m²",3 phòng,3 phòng,,Đã có sổ,Bàn giao thô,,,
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,61 tỷ",Dream Home Riverside,1 m²,Đã bàn giao,"1,61 tỷ/m²",2 phòng,2 phòng,,,,,,
"số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","4,7 tỷ",Celadon City,107.5 m²,Chưa bàn giao,"43,72 triệu/m²",3 phòng,,,,,,,Căn góc
"239 – 241 – 278, Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","2,55 tỷ",Căn hộ RichStar,53 m²,Đã bàn giao,"48,11 triệu/m²",2 phòng,1 phòng,,,,,,
"Số 90, Số 90 Số 90 Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, Tp.HCM, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","1,99 tỷ",Sunwah Pearl,1 m²,Đã bàn giao,"1,99 tỷ/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Bình Khánh, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,4 tỷ",Tái định cư Bình Khánh,63 m²,Đã bàn giao,"38,1 triệu/m²",2 phòng,2 phòng,5,,Hoàn thiện cơ bản,,,
"DC13, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","2,35 tỷ",TaniBuilding Sơn Kỳ 1,66 m²,Đã bàn giao,"35,61 triệu/m²",2 phòng,,9,Đã có sổ,Nội thất đầy đủ,Đông,,
"Mai Chí Thọ, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",58 tỷ,Empire City Thủ Thiêm,212 m²,Đã bàn giao,"273,58 triệu/m²",4 phòng,4 phòng,,Đang chờ sổ,Nội thất cao cấp,Tây Nam,,Căn góc
"Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,71 tỷ",Flora Anh Đào,57 m²,Đã bàn giao,30 triệu/m²,2 phòng,1 phòng,2,Đã có sổ,,Đông Bắc,Tây Nam,
"Trịnh Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","1,66 tỷ",Cloudy Đầm Sen (Chung cư Đại Thành),1 m²,Chưa bàn giao,"1,66 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","2,75 tỷ",PiCity High Park,65 m²,Đã bàn giao,"42,31 triệu/m²",2 phòng,,,Đang chờ sổ,,Đông Nam,,Căn góc
"Đường Đại Lộ Đông Tây, Phường 16, Quận 8, Tp Hồ Chí Minh","2,3 tỷ",Carina Plaza,99 m²,Đã bàn giao,"23,23 triệu/m²",2 phòng,2 phòng,7,Đã có sổ,Hoàn thiện cơ bản,Bắc,Nam,Căn góc
"Đường Dương Đình Hội, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,85 tỷ",EHome 1,60 m²,Chưa bàn giao,"30,83 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","5,7 tỷ",Sunrise City,130 m²,Đã bàn giao,"43,85 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"171A, Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","5,3 tỷ",Carillon 1,106 m²,Đã bàn giao,50 triệu/m²,3 phòng,2 phòng,,Đã có sổ,,Đông Nam,,
"Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","2,05 tỷ",EHome 5,54 m²,Chưa bàn giao,"37,96 triệu/m²",1 phòng,,,,,,,
